tradition,relative_path,filename,extension,size_bytes
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_at_Kamarajar_Hall/Undan_Paada_Pankayam/Undan_Paada_Pankayam.tonic,Undan_Paada_Pankayam.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Compositions_Of_Muthuswami_Dikshitar/Sundareshwaraya_Namasthe/Sundareshwaraya_Namasthe.tonic,Sundareshwaraya_Namasthe.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Compositions_Of_Muthuswami_Dikshitar/Sundareshwaraya_Namasthe/Sundareshwaraya_Namasthe.tonicFine,Sundareshwaraya_Namasthe.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Compositions_Of_Muthuswami_Dikshitar/Sundareshwaraya_Namasthe/Sundareshwaraya_Namasthe.pitchSilIntrpPP,Sundareshwaraya_Namasthe.pitchSilIntrpPP,.pitchsilintrppp,16017600
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Compositions_Of_Muthuswami_Dikshitar/Sundareshwaraya_Namasthe/Sundareshwaraya_Namasthe.taniSegKNN,Sundareshwaraya_Namasthe.taniSegKNN,.tanisegknn,52
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Compositions_Of_Muthuswami_Dikshitar/Sundareshwaraya_Namasthe/Sundareshwaraya_Namasthe.flatSegNyas,Sundareshwaraya_Namasthe.flatSegNyas,.flatsegnyas,16830
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Compositions_Of_Muthuswami_Dikshitar/Sundareshwaraya_Namasthe/Sundareshwaraya_Namasthe.pitch,Sundareshwaraya_Namasthe.pitch,.pitch,7567900
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_in_USA_-_Sanjay_Subrahmanyan/Shankaracharyam/Shankaracharyam.flatSegNyas,Shankaracharyam.flatSegNyas,.flatsegnyas,29422
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_in_USA_-_Sanjay_Subrahmanyan/Shankaracharyam/Shankaracharyam.pitch,Shankaracharyam.pitch,.pitch,9899352
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_in_USA_-_Sanjay_Subrahmanyan/Shankaracharyam/Shankaracharyam.tonic,Shankaracharyam.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_in_USA_-_Sanjay_Subrahmanyan/Shankaracharyam/Shankaracharyam.pitchSilIntrpPP,Shankaracharyam.pitchSilIntrpPP,.pitchsilintrppp,20703150
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_in_USA_-_Sanjay_Subrahmanyan/Shankaracharyam/Shankaracharyam.tonicFine,Shankaracharyam.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_in_USA_-_Sanjay_Subrahmanyan/Shankaracharyam/Shankaracharyam.taniSegKNN,Shankaracharyam.taniSegKNN,.tanisegknn,0
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/December_Season_2010/Buddhi_Raadu/Buddhi_Raadu.pitch,Buddhi_Raadu.pitch,.pitch,8312958
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/December_Season_2010/Buddhi_Raadu/Buddhi_Raadu.tonicFine,Buddhi_Raadu.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/December_Season_2010/Buddhi_Raadu/Buddhi_Raadu.flatSegNyas,Buddhi_Raadu.flatSegNyas,.flatsegnyas,21427
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/December_Season_2010/Buddhi_Raadu/Buddhi_Raadu.pitchSilIntrpPP,Buddhi_Raadu.pitchSilIntrpPP,.pitchsilintrppp,17546900
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/December_Season_2010/Buddhi_Raadu/Buddhi_Raadu.tonic,Buddhi_Raadu.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/December_Season_2010/Buddhi_Raadu/Buddhi_Raadu.taniSegKNN,Buddhi_Raadu.taniSegKNN,.tanisegknn,0
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sikkil_Gurucharan/December_Season_2007/Sami_Ninne/Sami_Ninne.tonic,Sami_Ninne.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sikkil_Gurucharan/December_Season_2007/Sami_Ninne/Sami_Ninne.pitch,Sami_Ninne.pitch,.pitch,2524013
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sikkil_Gurucharan/December_Season_2007/Sami_Ninne/Sami_Ninne.flatSegNyas,Sami_Ninne.flatSegNyas,.flatsegnyas,5618
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sikkil_Gurucharan/December_Season_2007/Sami_Ninne/Sami_Ninne.tonicFine,Sami_Ninne.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sikkil_Gurucharan/December_Season_2007/Sami_Ninne/Sami_Ninne.taniSegKNN,Sami_Ninne.taniSegKNN,.tanisegknn,0
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sikkil_Gurucharan/December_Season_2007/Sami_Ninne/Sami_Ninne.pitchSilIntrpPP,Sami_Ninne.pitchSilIntrpPP,.pitchsilintrppp,5450350
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Nithyasree_Mahadevan/December_Season_2007/Tukiya_Tiruvadi/Tukiya_Tiruvadi.taniSegKNN,Tukiya_Tiruvadi.taniSegKNN,.tanisegknn,16
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Nithyasree_Mahadevan/December_Season_2007/Tukiya_Tiruvadi/Tukiya_Tiruvadi.pitch,Tukiya_Tiruvadi.pitch,.pitch,4394278
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Nithyasree_Mahadevan/December_Season_2007/Tukiya_Tiruvadi/Tukiya_Tiruvadi.tonicFine,Tukiya_Tiruvadi.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Nithyasree_Mahadevan/December_Season_2007/Tukiya_Tiruvadi/Tukiya_Tiruvadi.tonic,Tukiya_Tiruvadi.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Nithyasree_Mahadevan/December_Season_2007/Tukiya_Tiruvadi/Tukiya_Tiruvadi.flatSegNyas,Tukiya_Tiruvadi.flatSegNyas,.flatsegnyas,11736
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Nithyasree_Mahadevan/December_Season_2007/Tukiya_Tiruvadi/Tukiya_Tiruvadi.pitchSilIntrpPP,Tukiya_Tiruvadi.pitchSilIntrpPP,.pitchsilintrppp,9398300
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Amrutha_Venkatesh/December_Season_2007/Akshayalinga_Vibho/Akshayalinga_Vibho.pitchSilIntrpPP,Akshayalinga_Vibho.pitchSilIntrpPP,.pitchsilintrppp,20551800
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Amrutha_Venkatesh/December_Season_2007/Akshayalinga_Vibho/Akshayalinga_Vibho.taniSegKNN,Akshayalinga_Vibho.taniSegKNN,.tanisegknn,18
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Amrutha_Venkatesh/December_Season_2007/Akshayalinga_Vibho/Akshayalinga_Vibho.tonicFine,Akshayalinga_Vibho.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Amrutha_Venkatesh/December_Season_2007/Akshayalinga_Vibho/Akshayalinga_Vibho.pitch,Akshayalinga_Vibho.pitch,.pitch,9824851
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Amrutha_Venkatesh/December_Season_2007/Akshayalinga_Vibho/Akshayalinga_Vibho.flatSegNyas,Akshayalinga_Vibho.flatSegNyas,.flatsegnyas,26041
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Amrutha_Venkatesh/December_Season_2007/Akshayalinga_Vibho/Akshayalinga_Vibho.tonic,Akshayalinga_Vibho.tonic,.tonic,10
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Kunnakkudi_M_Balamuralikrishna/December_Season_2009/Aravinda_Pada_Malar/Aravinda_Pada_Malar.tonicFine,Aravinda_Pada_Malar.tonicFine,.tonicfine,25
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Kunnakkudi_M_Balamuralikrishna/December_Season_2009/Aravinda_Pada_Malar/Aravinda_Pada_Malar.flatSegNyas,Aravinda_Pada_Malar.flatSegNyas,.flatsegnyas,3500
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Kunnakkudi_M_Balamuralikrishna/December_Season_2009/Aravinda_Pada_Malar/Aravinda_Pada_Malar.taniSegKNN,Aravinda_Pada_Malar.taniSegKNN,.tanisegknn,0
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Kunnakkudi_M_Balamuralikrishna/December_Season_2009/Aravinda_Pada_Malar/Aravinda_Pada_Malar.pitch,Aravinda_Pada_Malar.pitch,.pitch,1498618
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Kunnakkudi_M_Balamuralikrishna/December_Season_2009/Aravinda_Pada_Malar/Aravinda_Pada_Malar.tonic,Aravinda_Pada_Malar.tonic,.tonic,10
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Kunnakkudi_M_Balamuralikrishna/December_Season_2009/Aravinda_Pada_Malar/Aravinda_Pada_Malar.pitchSilIntrpPP,Aravinda_Pada_Malar.pitchSilIntrpPP,.pitchsilintrppp,3236850
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/M_S__Subbulakshmi/M_S__Subbulakshmi_concert_at_Chicago_1977/Jagadoddharan/Jagadoddharan.tonic,Jagadoddharan.tonic,.tonic,10
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/M_S__Subbulakshmi/M_S__Subbulakshmi_concert_at_Chicago_1977/Jagadoddharan/Jagadoddharan.pitchSilIntrpPP,Jagadoddharan.pitchSilIntrpPP,.pitchsilintrppp,4140500
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/M_S__Subbulakshmi/M_S__Subbulakshmi_concert_at_Chicago_1977/Jagadoddharan/Jagadoddharan.flatSegNyas,Jagadoddharan.flatSegNyas,.flatsegnyas,4971
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/M_S__Subbulakshmi/M_S__Subbulakshmi_concert_at_Chicago_1977/Jagadoddharan/Jagadoddharan.pitch,Jagadoddharan.pitch,.pitch,1916011
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/M_S__Subbulakshmi/M_S__Subbulakshmi_concert_at_Chicago_1977/Jagadoddharan/Jagadoddharan.taniSegKNN,Jagadoddharan.taniSegKNN,.tanisegknn,0
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/M_S__Subbulakshmi/M_S__Subbulakshmi_concert_at_Chicago_1977/Jagadoddharan/Jagadoddharan.tonicFine,Jagadoddharan.tonicFine,.tonicfine,25
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Gayathri_Venkataraghavan/December_Season_2010/Jagadodharana/Jagadodharana.taniSegKNN,Jagadodharana.taniSegKNN,.tanisegknn,0
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Gayathri_Venkataraghavan/December_Season_2010/Jagadodharana/Jagadodharana.tonic,Jagadodharana.tonic,.tonic,10
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Gayathri_Venkataraghavan/December_Season_2010/Jagadodharana/Jagadodharana.pitchSilIntrpPP,Jagadodharana.pitchSilIntrpPP,.pitchsilintrppp,7833950
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Gayathri_Venkataraghavan/December_Season_2010/Jagadodharana/Jagadodharana.tonicFine,Jagadodharana.tonicFine,.tonicfine,25
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Gayathri_Venkataraghavan/December_Season_2010/Jagadodharana/Jagadodharana.pitch,Jagadodharana.pitch,.pitch,3666504
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Gayathri_Venkataraghavan/December_Season_2010/Jagadodharana/Jagadodharana.flatSegNyas,Jagadodharana.flatSegNyas,.flatsegnyas,9984
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Amritha_Murali/December_Season_2011/Brindavana_Dolagaaduva/Brindavana_Dolagaaduva.taniSegKNN,Brindavana_Dolagaaduva.taniSegKNN,.tanisegknn,16
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Amritha_Murali/December_Season_2011/Brindavana_Dolagaaduva/Brindavana_Dolagaaduva.pitch,Brindavana_Dolagaaduva.pitch,.pitch,2204398
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Amritha_Murali/December_Season_2011/Brindavana_Dolagaaduva/Brindavana_Dolagaaduva.pitchSilIntrpPP,Brindavana_Dolagaaduva.pitchSilIntrpPP,.pitchsilintrppp,4740600
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Amritha_Murali/December_Season_2011/Brindavana_Dolagaaduva/Brindavana_Dolagaaduva.tonicFine,Brindavana_Dolagaaduva.tonicFine,.tonicfine,25
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Amritha_Murali/December_Season_2011/Brindavana_Dolagaaduva/Brindavana_Dolagaaduva.flatSegNyas,Brindavana_Dolagaaduva.flatSegNyas,.flatsegnyas,6692
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Amritha_Murali/December_Season_2011/Brindavana_Dolagaaduva/Brindavana_Dolagaaduva.tonic,Brindavana_Dolagaaduva.tonic,.tonic,10
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sanjay_Subrahmanyan/Sanjay_at_Sastri_Hall/Kalilo_Hari_Smrana/Kalilo_Hari_Smrana.tonic,Kalilo_Hari_Smrana.tonic,.tonic,9
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sanjay_Subrahmanyan/Sanjay_at_Sastri_Hall/Kalilo_Hari_Smrana/Kalilo_Hari_Smrana.pitchSilIntrpPP,Kalilo_Hari_Smrana.pitchSilIntrpPP,.pitchsilintrppp,1914700
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sanjay_Subrahmanyan/Sanjay_at_Sastri_Hall/Kalilo_Hari_Smrana/Kalilo_Hari_Smrana.tonicFine,Kalilo_Hari_Smrana.tonicFine,.tonicfine,25
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sanjay_Subrahmanyan/Sanjay_at_Sastri_Hall/Kalilo_Hari_Smrana/Kalilo_Hari_Smrana.pitch,Kalilo_Hari_Smrana.pitch,.pitch,871546
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sanjay_Subrahmanyan/Sanjay_at_Sastri_Hall/Kalilo_Hari_Smrana/Kalilo_Hari_Smrana.taniSegKNN,Kalilo_Hari_Smrana.taniSegKNN,.tanisegknn,0
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sanjay_Subrahmanyan/Sanjay_at_Sastri_Hall/Kalilo_Hari_Smrana/Kalilo_Hari_Smrana.flatSegNyas,Kalilo_Hari_Smrana.flatSegNyas,.flatsegnyas,2399
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2009/Kartikeyanai_Kannara/Kartikeyanai_Kannara.taniSegKNN,Kartikeyanai_Kannara.taniSegKNN,.tanisegknn,0
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2009/Kartikeyanai_Kannara/Kartikeyanai_Kannara.tonic,Kartikeyanai_Kannara.tonic,.tonic,10
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2009/Kartikeyanai_Kannara/Kartikeyanai_Kannara.tonicFine,Kartikeyanai_Kannara.tonicFine,.tonicfine,25
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2009/Kartikeyanai_Kannara/Kartikeyanai_Kannara.pitch,Kartikeyanai_Kannara.pitch,.pitch,1630776
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2009/Kartikeyanai_Kannara/Kartikeyanai_Kannara.flatSegNyas,Kartikeyanai_Kannara.flatSegNyas,.flatsegnyas,4229
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2009/Kartikeyanai_Kannara/Kartikeyanai_Kannara.pitchSilIntrpPP,Kartikeyanai_Kannara.pitchSilIntrpPP,.pitchsilintrppp,3515450
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2006/Kanaka_Sabhaiyai/Kanaka_Sabhaiyai.tonic,Kanaka_Sabhaiyai.tonic,.tonic,10
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2006/Kanaka_Sabhaiyai/Kanaka_Sabhaiyai.pitch,Kanaka_Sabhaiyai.pitch,.pitch,1203136
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2006/Kanaka_Sabhaiyai/Kanaka_Sabhaiyai.tonicFine,Kanaka_Sabhaiyai.tonicFine,.tonicfine,25
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2006/Kanaka_Sabhaiyai/Kanaka_Sabhaiyai.taniSegKNN,Kanaka_Sabhaiyai.taniSegKNN,.tanisegknn,0
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2006/Kanaka_Sabhaiyai/Kanaka_Sabhaiyai.flatSegNyas,Kanaka_Sabhaiyai.flatSegNyas,.flatsegnyas,3092
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2006/Kanaka_Sabhaiyai/Kanaka_Sabhaiyai.pitchSilIntrpPP,Kanaka_Sabhaiyai.pitchSilIntrpPP,.pitchsilintrppp,2605900
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2007/Jo_Achyuta_Nanda/Jo_Achyuta_Nanda.tonic,Jo_Achyuta_Nanda.tonic,.tonic,10
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2007/Jo_Achyuta_Nanda/Jo_Achyuta_Nanda.tonicFine,Jo_Achyuta_Nanda.tonicFine,.tonicfine,25
Carnatic,09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2007/Jo_Achyuta_Nanda/Jo_Achyuta_Nanda.taniSegKNN,Jo_Achyuta_Nanda.taniSegKNN,.tanisegknn,0
